trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9926084586557181}",30,0,-146.4246223213025,"{0: 21, 1: 0, 2: 6, 3: 1, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.9918374288468401}",30,0,-178.51478800271062,"{0: 19, 1: 1, 2: 5, 3: 3, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.990986701347152}",20,0,-65.13762583171919,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.9900481981330957}",25,0,-139.98121963668484,"{0: 13, 1: 3, 2: 6, 3: 2, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.9890130573694068}",25,0,-230.66309622696383,"{0: 14, 1: 1, 2: 3, 3: 3, 4: 4}",0
6,False,"{'a': 0.5, 'e': 0.9878715650157257}",25,0,-130.40738948797883,"{0: 16, 1: 0, 2: 7, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.9866130821723351}",25,0,-174.63330568704728,"{0: 15, 1: 2, 2: 4, 3: 1, 4: 3}",0
8,False,"{'a': 0.5, 'e': 0.9852259683067269}",30,0,-104.07254975745676,"{0: 21, 1: 3, 2: 2, 3: 3, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.9836975006285591}",20,0,-148.72571180431763,"{0: 10, 1: 1, 2: 6, 3: 1, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.9820137900379085}",25,0,-180.84985531729532,"{0: 14, 1: 2, 2: 4, 3: 3, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.9801596942659225}",20,9,-58.30925614118142,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 1}",1
12,False,"{'a': 0.5, 'e': 0.9781187290638694}",20,0,-175.44202883833515,"{0: 9, 1: 0, 2: 7, 3: 2, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.9758729785823308}",20,0,-151.12493966127104,"{0: 11, 1: 2, 2: 3, 3: 2, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.973403006423134}",25,0,-148.52536099716903,"{0: 14, 1: 3, 2: 5, 3: 1, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.9706877692486436}",20,0,-79.61818540175898,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.9677045353015495}",20,0,-64.41382762673597,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.9644288107273639}",30,0,-71.2582052618075,"{0: 21, 1: 1, 2: 7, 3: 1, 4: 0}",0
