trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-66.11225128086136,"{0: 14, 1: 3, 2: 1, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",30,0,-117.23801834389441,"{0: 22, 1: 2, 2: 3, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",30,0,-264.34995690110503,"{0: 12, 1: 3, 2: 10, 3: 2, 4: 3}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-133.3614546930742,"{0: 18, 1: 2, 2: 2, 3: 0, 4: 3}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,11,-118.92764364889918,"{0: 6, 1: 1, 2: 4, 3: 2, 4: 1}",1
6,False,"{'a': 0.5, 'e': 1.0}",20,6,-79.07177719398803,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 2}",1
7,False,"{'a': 0.5, 'e': 1.0}",30,0,-201.87072997204095,"{0: 17, 1: 2, 2: 7, 3: 1, 4: 3}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-151.1083380771389,"{0: 16, 1: 0, 2: 5, 3: 2, 4: 2}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,12,-51.209845671895906,"{0: 4, 1: 2, 2: 1, 3: 0, 4: 1}",1
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-82.22089649080338,"{0: 19, 1: 1, 2: 2, 3: 2, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,6,-89.41997568785195,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 2}",1
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-84.27991865711638,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",35,0,-149.84270238755116,"{0: 19, 1: 5, 2: 9, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,8,-137.8547445461951,"{0: 9, 1: 2, 2: 2, 3: 2, 4: 2}",1
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-84.48678486184279,"{0: 10, 1: 2, 2: 8, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-181.6449348213361,"{0: 10, 1: 1, 2: 5, 3: 1, 4: 3}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-73.5858047933183,"{0: 19, 1: 2, 2: 2, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-72.54318361661436,"{0: 11, 1: 3, 2: 5, 3: 1, 4: 0}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-121.77863747895887,"{0: 12, 1: 4, 2: 0, 3: 2, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",30,0,-249.49073825757654,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 5}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-115.4021220571998,"{0: 13, 1: 3, 2: 1, 3: 1, 4: 2}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-98.9189151210039,"{0: 12, 1: 5, 2: 1, 3: 0, 4: 2}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-52.513169512841195,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-172.64700584507008,"{0: 12, 1: 1, 2: 2, 3: 2, 4: 3}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-114.55560549119056,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-112.90496486442143,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 2}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-35.799412093343506,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
8,True,"{'a': 0.5, 'e': 1.0}",30,0,-129.02658225526832,"{0: 19, 1: 2, 2: 6, 3: 2, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-91.44101101471456,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-276.78205905036083,"{0: 11, 1: 2, 2: 6, 3: 1, 4: 5}",0
